,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
1162,Analy High,West Sonoma County Union High,Sonoma,262.0,93.0,86.0,92.47,64.0,68.82,64.0,68.82,33.0,27.0,27.0,25.0,24.0,27.0,81.82,35.49618320610687,12.595419847328243
1164,El Molino High,West Sonoma County Union High,Sonoma,131.0,43.0,38.0,88.37,30.0,69.77,28.0,65.12,22.0,24.0,22.0,22.0,23.0,13.0,59.09,32.82442748091603,16.793893129770993
1165,Healdsburg High,Healdsburg Unified,Sonoma,139.0,47.0,39.0,82.98,29.0,61.7,28.0,59.57,36.0,24.0,25.0,22.0,22.0,29.0,80.56,33.81294964028777,25.899280575539567
1166,Montgomery High,Santa Rosa High,Sonoma,354.0,98.0,80.0,81.63,61.0,62.24,60.0,61.22,47.0,24.0,23.0,25.0,24.0,37.0,78.72,27.683615819209038,13.27683615819209
1167,Petaluma High,Petaluma Joint Union High,Sonoma,319.0,129.0,115.0,89.15,87.0,67.44,85.0,65.89,78.0,25.0,24.0,23.0,24.0,60.0,76.92,40.43887147335423,24.45141065830721
1168,Piner High,Santa Rosa High,Sonoma,338.0,86.0,67.0,77.91,34.0,39.53,33.0,38.37,47.0,22.0,20.0,20.0,21.0,21.0,44.68,25.443786982248522,13.905325443786982
1169,Rancho Cotate High,Cotati-Rohnert Park Unified,Sonoma,343.0,105.0,69.0,65.71,44.0,41.9,39.0,37.14,38.0,20.0,18.0,20.0,20.0,14.0,36.84,30.612244897959183,11.078717201166182
1170,Santa Rosa High,Santa Rosa High,Sonoma,458.0,90.0,80.0,88.89,61.0,67.78,61.0,67.78,87.0,27.0,25.0,25.0,24.0,71.0,81.61,19.65065502183406,18.995633187772924
1171,Sonoma Valley High,Sonoma Valley Unified,Sonoma,279.0,91.0,71.0,78.02,53.0,58.24,50.0,54.95,47.0,25.0,24.0,23.0,23.0,31.0,65.96,32.61648745519714,16.845878136200717
1172,Fred C. Beyer High,Modesto City High,Stanislaus,397.0,101.0,83.0,82.18,56.0,55.45,56.0,55.45,63.0,25.0,25.0,24.0,24.0,47.0,74.6,25.440806045340054,15.869017632241814
